名前,金額,定食
焼きビーフン定食,980,1
麻婆豆腐定食,980,1
ニラレバ定食,980,1
野菜炒め定食,980,1
青椒肉絲定食,"1,080",1
回鍋肉定食,"1,080",1
豚肉の生姜焼き定食,"1,080",1
ニンニク茎と豚肉炒め定食,"1,080",1
肉団子の甘酢定食,"1,080",1
エビ青梗菜定食,"1,180",1
海鮮八宝菜定食,"1,180",1
エビチリ定食,"1,180",1
